source	target	Rho
otu_312	otu_263	0.797789655618002
otu_625	otu_119	0.797703501290326
otu_850	otu_497	0.797355702882959
otu_635	otu_533	0.797259443116133
otu_830	otu_270	0.797062676682314
otu_603	otu_55	0.79677901143535
otu_654	otu_217	0.796778471810911
otu_731	otu_319	0.796774316407765
otu_894	otu_545	0.796701006820763
otu_488	otu_439	0.796252727291655
otu_497	otu_157	0.796230394300208
otu_763	otu_261	0.796062464862246
otu_79	otu_38	0.795902588180247
otu_751	otu_489	0.795614149531955
otu_263	otu_139	0.795571572960554
otu_406	otu_68	0.795541347477358
otu_789	otu_217	0.795526792516052
otu_526	otu_148	0.795222953154246
otu_730	otu_493	0.795213264933172
otu_135	otu_16	0.795136636673816
otu_698	otu_545	0.79506430589719
otu_827	otu_278	0.794828050035396
otu_327	otu_300	0.794712964501079
otu_566	otu_417	0.794197215709347
otu_898	otu_894	0.794076388705745
otu_830	otu_125	0.793949271990178
otu_898	otu_462	0.793906065522141
otu_589	otu_299	0.793772271645922
otu_250	otu_71	0.793562235774749
otu_561	otu_10	0.793481476161858
otu_775	otu_500	0.793310618618896
otu_121	otu_10	0.793018947897305
otu_834	otu_124	0.793017291148168
otu_763	otu_587	0.792534627188241
otu_588	otu_566	0.79135643490589
otu_855	otu_5	0.791297698694346
otu_617	otu_31	0.791076155007171
otu_773	otu_344	0.790780721936395
otu_653	otu_382	0.790739975308974
otu_574	otu_370	0.790514905793499
otu_860	otu_851	0.790377555389867
otu_496	otu_410	0.790318863727962
otu_609	otu_330	0.79025376410686
otu_430	otu_276	0.790250862780243
otu_250	otu_169	0.790209429179505
otu_813	otu_409	0.790157496462438
otu_402	otu_77	0.78983456426049
otu_841	otu_350	0.789681854282518
otu_834	otu_217	0.789643148087166
otu_742	otu_72	0.789589601894867
otu_751	otu_80	0.789432629426882
otu_506	otu_3	0.789416829430568
otu_588	otu_397	0.789353586175845
otu_742	otu_497	0.789342219593947
otu_327	otu_74	0.789091775384374
otu_776	otu_319	0.789025186495987
otu_506	otu_421	0.788858987738713
otu_764	otu_184	0.788845606642148
otu_357	otu_154	0.788644824679744
otu_181	otu_79	0.788513128956308
otu_430	otu_330	0.788512595646324
otu_330	otu_202	0.788503517637073
otu_653	otu_317	0.788447671181013
otu_276	otu_160	0.788445686718964
otu_588	otu_193	0.788285145671906
otu_184	otu_115	0.788169930960721
otu_532	otu_168	0.788140483494283
otu_415	otu_68	0.788139134043289
otu_802	otu_533	0.787903110465144
otu_666	otu_409	0.787851425293031
otu_730	otu_12	0.787626242941219
otu_701	otu_72	0.7875685736641
otu_636	otu_320	0.787333494006078
otu_559	otu_280	0.787093036954381
otu_327	otu_320	0.786997316250933
otu_558	otu_550	0.78692203335058
otu_863	otu_730	0.786791690238897
otu_306	otu_246	0.786724873501171
otu_753	otu_410	0.786560649496916
otu_357	otu_115	0.786333325249774
otu_561	otu_74	0.786251002555604
otu_659	otu_2	0.78624203663356
otu_406	otu_329	0.785779990049457
otu_561	otu_300	0.785739178470874
otu_421	otu_350	0.78572120478499
otu_762	otu_319	0.785665512489592
