OTU	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_169	0	0	0.031476416	0.01636591	0	0	0.002010889	0.025042368	0.019969398	0	0.012938675	0	0.13019304	0.020449866	0	0	0	0	0.011994683	0.017329022
otu_170	0	0.15093759	0	0.018731277	0.018494407	0	0	0	0	0	0.0196246	0	0	0.007022178	0	0	0	0	0	0
otu_171	0	0	0.015854752	0.017747339	0	0	0	0.004169906	0.007435218	0	0.013346489	0	0.013652916	0	0	0	0	0	0.007923099	0.014399024
otu_172	0	0	0	0	0	0	0	0.10535025	0	0	0	0	0	0	0	0	0.009096392	0	0	0
otu_173	0	0	0.011737023	0	0.027108401	0	0	0.030741977	0	0	0	0	0.006511896	0.007415396	0	0	0.012163343	0	0.007920112	0.012061168
otu_174	0	0	0	0	0.015949639	0	0	0.11032546	0	0	0	0	0.020228134	0	0	0	0	0.010449026	0	0
otu_175	0	0	0	0	0	0	0	0	0	0	0	0	0.044106938	0.008997806	0	0	0	0	0.005602069	0.15455885
otu_176	0	0.1238124	0.005641443	0	0.025239525	0	0.13163629	0.04893032	0	0	0	0.035271816	0	0.039662335	0.112385124	0	0.026519269	0.048091754	0	0
otu_177	0	0.010978803	0	0	0.017000722	0.033081576	0.04532499	0	0	0.050344538	0	0.06770533	0	0.035085868	0	0.008242468	0.052583985	0.091239005	0.008149232	0
otu_178	0.021561265	0.010101362	0.09340786	0.016911652	0.031347107	0	0	0.026964242	0.032729592	0	0.011372027	0	0.04524527	0.004543653	0.032816727	0	0	0	0	0
otu_179	0.008374928	0	0.009835049	0	0.011140522	0	0	0	0	0	0	0	0.07378361	0.07504805	0	0	0	0	0.03928332	0.019941613
